"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a station status, street and landmarks","Looking for a station status and occupancy","SUCCESS","2018-03-13T19:19:15.155-05:00","0.0","1.52"
"Lookup a station status, street and landmarks","Looking up for the street and nearby landmarks of a given station","SUCCESS","2018-03-13T19:19:07.971-05:00","0.0","7.18"
